==>Arguments:
arch:plus
checkpoint:./checkpoints/
datapath:./data/
epochs:100
evaluate:False
gamma:0.1
gpu_id:1
lr:0.01
momentum:0.9
reg:0.0001
schedule:[70]
train_batchsize:64
val_batchsize:16
==>Training log:
Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
0.001000	2.026370	1.904512	42.956985	55.381836	
0.001000	2.026498	1.908289	42.985653	55.055317	
0.001000	2.025683	1.908202	43.037525	55.074524	
0.001000	2.025329	1.909687	43.131714	54.940071	
0.001000	2.025269	1.906631	43.174030	55.243546	
0.001000	2.025754	1.906572	43.042984	55.208973	
0.001000	2.025420	1.909381	43.085300	54.924706	
0.001000	2.024859	1.909661	43.130348	54.878609	
0.001000	2.026275	1.908121	42.973366	55.005379	
0.001000	2.026230	1.912182	42.987019	54.505993	
0.001000	2.026010	1.909916	42.992477	54.748001	
0.001000	2.022831	1.905622	43.302345	55.358788	
0.001000	2.025891	1.908837	43.053905	54.963120	
0.001000	2.023281	1.905394	43.285965	55.251228	
0.001000	2.024796	1.901304	43.160381	55.650738	
0.001000	2.027593	1.906682	42.775433	55.051476	
0.001000	2.023819	1.903924	43.232727	55.531651	
0.001000	2.025758	1.909385	43.062096	54.913181	
0.001000	2.027639	1.911866	42.819115	54.659649	
0.001000	2.022082	1.908347	43.471611	55.024586	
0.001000	2.020183	1.904632	43.565800	55.504761	
0.001000	2.024112	1.903849	43.210888	55.570068	
0.001000	2.023422	1.910502	43.303711	54.732635	
0.001000	2.020237	1.904743	43.561707	55.397202	
0.001000	2.025573	1.911212	43.083935	54.686539	
0.001000	2.022212	1.900484	43.371964	55.742931	
0.001000	2.021744	1.904963	43.482533	55.366470	
0.001000	2.022254	1.900974	43.425201	55.704517	
0.001000	2.024175	1.903396	43.137173	55.508602	
0.001000	2.019764	1.903642	43.673641	55.520126	
0.001000	2.024134	1.902200	43.205425	55.623848	
0.001000	2.021525	1.903378	43.457962	55.470188	
0.001000	2.022187	1.909303	43.391075	54.986168	
0.001000	2.022196	1.906310	43.382885	55.255070	
0.001000	2.022144	1.904374	43.347393	55.520126	
0.001000	2.023927	1.904121	43.135807	55.297325	
0.001000	2.022973	1.907192	43.288696	55.147511	
0.001000	2.022632	1.904376	43.371964	55.339581	
0.001000	2.022293	1.902491	43.380154	55.646896	
0.001000	2.022083	1.913296	43.485264	54.471420	
0.001000	2.019033	1.908387	43.788307	55.009220	
0.001000	2.023801	1.907311	43.186317	55.089890	
0.001000	2.020609	1.900528	43.563072	55.831284	
0.001000	2.021292	1.902128	43.470249	55.650738	
0.001000	2.022589	1.904938	43.445675	55.205132	
0.001000	2.022093	1.907118	43.482533	55.112938	
0.001000	2.020137	1.903735	43.662720	55.489395	
0.001000	2.020592	1.901811	43.621769	55.692993	
0.001000	2.019596	1.903662	43.644974	55.401043	
0.001000	2.022337	1.906894	43.388344	55.109097	
0.001000	2.021006	1.903177	43.452503	55.481712	
0.001000	2.017534	1.901045	43.877033	55.858173	
0.001000	2.020839	1.901690	43.538502	55.735249	
0.001000	2.018576	1.903648	43.801956	55.493237	
0.001000	2.022149	1.905516	43.393803	55.293484	
0.001000	2.020635	1.904471	43.565800	55.408726	
0.001000	2.019894	1.905176	43.638149	55.401043	
0.001000	2.022738	1.901200	43.310535	55.612324	
0.001000	2.019268	1.902281	43.688656	55.535492	
0.001000	2.022147	1.906459	43.438850	55.243546	
0.001000	2.020662	1.904632	43.524849	55.443298	
0.001000	2.020946	1.901373	43.505737	55.723724	
0.001000	2.022559	1.906473	43.351486	55.185925	
0.001000	2.021967	1.905422	43.397900	55.239704	
0.001000	2.019280	1.906226	43.677734	55.155193	
0.001000	2.019403	1.902972	43.729607	55.623848	
